rs value	gene name
rs114733982	"<dd>
<div class=""gray"">None</div>
</dd>"
rs62231873	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140297843	"<dd>
<div class=""gray"">None</div>
</dd>"
rs78309238	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145423532	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142649136	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181391820	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185228480	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144189617	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148298810	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141390898	"<dd>
<div class=""gray"">None</div>
</dd>"
rs78721569	"<dd>
<div class=""gray"">None</div>
</dd>"
rs116154315	"<dd>
<div class=""gray"">None</div>
</dd>"
rs188372735	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150827614	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139939351	"<dd>
<div class=""gray"">None</div>
</dd>"
rs73893103	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181822437	"<dd>
<div class=""gray"">None</div>
</dd>"
rs35871519	"<dd>
<div class=""gray"">None</div>
</dd>"
rs187432906	"<dd>
<div class=""gray"">None</div>
</dd>"
rs34597827	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145469094	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147292599	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140952403	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149849201	"<dd>
<div class=""gray"">None</div>
</dd>"
rs35042741	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117873496	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145890005	"<dd>
<div class=""gray"">None</div>
</dd>"
rs115225965	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149007467	"<dd>
<div class=""gray"">None</div>
</dd>"
rs62231876	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117196363	"<dd>
<div class=""gray"">None</div>
</dd>"
rs113865762	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117560100	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142038940	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192117709	"<dd>
<div class=""gray"">None</div>
</dd>"
rs75967889	"<dd>
<div class=""gray"">None</div>
</dd>"
rs35958120	"<dd>
<div class=""gray"">None</div>
</dd>"
rs77265282	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183619345	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140277381	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117275602	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145383197	"<dd>
<div class=""gray"">None</div>
</dd>"
rs79566265	"<dd>
<div class=""gray"">None</div>
</dd>"
rs186912889	"<dd>
<div class=""gray"">None</div>
</dd>"
rs190022016	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138015964	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140855979	"<dd>
<div class=""gray"">None</div>
</dd>"
rs73893106	"<dd>
<div class=""gray"">None</div>
</dd>"
rs62231879	"<dd>
<div class=""gray"">None</div>
</dd>"
rs73893107	"<dd>
<div class=""gray"">None</div>
</dd>"
rs115632819	"<dd>
<div class=""gray"">None</div>
</dd>"
rs182593904	"<dd>
<div class=""gray"">None</div>
</dd>"
rs116206383	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150142054	"<dd>
<div class=""gray"">None</div>
</dd>"
rs79641884	"<dd>
<div class=""gray"">None</div>
</dd>"
rs75702728	"<dd>
<div class=""gray"">None</div>
</dd>"
rs114757858	"<dd>
<div class=""gray"">None</div>
</dd>"
rs186520491	"<dd>
<div class=""gray"">None</div>
</dd>"
rs74854156	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138624219	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149327655	"<dd>
<div class=""gray"">None</div>
</dd>"
rs189741587	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144662324	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138320143	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183066225	"<dd>
<div class=""gray"">None</div>
</dd>"
rs189049868	"<dd>
<div class=""gray"">None</div>
</dd>"
rs115111772	"<dd>
<div class=""gray"">None</div>
</dd>"
rs193143915	"<dd>
<div class=""gray"">None</div>
</dd>"
rs77528047	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117578462	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143904075	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117091946	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147283209	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140918380	"<dd>
<div class=""gray"">None</div>
</dd>"
rs76502866	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185230990	"<dd>
<div class=""gray"">None</div>
</dd>"
rs73893108	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141496303	"<dd>
<div class=""gray"">None</div>
</dd>"
rs79311248	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117765799	"<dd>
<div class=""gray"">None</div>
</dd>"
rs188499932	"<dd>
<div class=""gray"">None</div>
</dd>"
rs35407109	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150880264	"<dd>
<div class=""gray"">None</div>
</dd>"
rs73181194	"<dd>
<div class=""gray"">None</div>
</dd>"
rs191683193	"<dd>
<div class=""gray"">None</div>
</dd>"
rs62231881	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139396040	"<dd>
<div class=""gray"">None</div>
</dd>"
rs117839244	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150069372	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146661152	"<dd>
<div class=""gray"">None</div>
</dd>"
rs184235324	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36147371	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144041856	"<dd>
<div class=""gray"">None</div>
</dd>"
rs188131238	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146440775	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143114842	"<dd>
<div class=""gray"">None</div>
</dd>"
rs180898075	"<dd>
<div class=""gray"">None</div>
</dd>"
rs184506893	"<dd>
<div class=""gray"">None</div>
</dd>"
rs151200722	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140377817	"<dd>
<div class=""gray"">None</div>
</dd>"
rs190569352	"<dd>
<div class=""gray"">None</div>
</dd>"
rs182226738	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36195165	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138283796	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143883797	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36183197	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138762204	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149381074	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36150983	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148569243	"<dd>
<div class=""gray"">None</div>
</dd>"
rs186855498	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142004074	"<dd>
<div class=""gray"">None</div>
</dd>"
rs190550898	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146167291	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181049390	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140184333	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143965697	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185475461	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146428555	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139501831	"<dd>
<div class=""gray"">None</div>
</dd>"
rs190298172	"<dd>
<div class=""gray"">None</div>
</dd>"
rs182821710	"<dd>
<div class=""gray"">None</div>
</dd>"
rs187722045	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192209273	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183969875	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149699746	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145555624	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36163375	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147009140	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147628995	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142282869	"<dd>
<div class=""gray"">None</div>
</dd>"
rs188527854	"<dd>
<div class=""gray"">None</div>
</dd>"
rs192198267	"<dd>
<div class=""gray"">None</div>
</dd>"
rs36155743	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148306547	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141460854	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150440093	"<dd>
<div class=""gray"">None</div>
</dd>"
rs183989041	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138270978	"<dd>
<div class=""gray"">None</div>
</dd>"
rs187121325	"<dd>
<div class=""gray"">None</div>
</dd>"
rs191889699	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142910075	"<dd>
<div class=""gray"">None</div>
</dd>"
rs146126869	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138998389	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142270198	"<dd>
<div class=""gray"">None</div>
</dd>"
rs184366713	"<dd>
<div class=""gray"">None</div>
</dd>"
rs189257422	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145932451	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148620340	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142108108	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150756995	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139094479	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145192345	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147618811	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142243532	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144554206	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145705419	"<dd>
<div class=""gray"">None</div>
</dd>"
rs182235760	"<dd>
<div class=""gray"">None</div>
</dd>"
rs185583096	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148941295	"<dd>
<div class=""gray"">None</div>
</dd>"
rs143657796	"<dd>
<div class=""gray"">None</div>
</dd>"
rs148103521	"<dd>
<div class=""gray"">None</div>
</dd>"
rs188746662	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141308289	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145095295	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138978802	"<dd>
<div class=""gray"">None</div>
</dd>"
rs142228235	"<dd>
<div class=""gray"">None</div>
</dd>"
rs150914906	"<dd>
<div class=""gray"">None</div>
</dd>"
rs138378912	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149232497	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144447009	"<dd>
<div class=""gray"">None</div>
</dd>"
rs139522259	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145152485	"<dd>
<div class=""gray"">None</div>
</dd>"
rs147188893	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140550177	"<dd>
<div class=""gray"">None</div>
</dd>"
rs144514864	"<dd>
<div class=""gray"">None</div>
</dd>"
rs151209791	"<dd>
<div class=""gray"">None</div>
</dd>"
rs140399522	"<dd>
<div class=""gray"">None</div>
</dd>"
rs181544946	"<dd>
<div class=""gray"">None</div>
</dd>"
rs149975233	"<dd>
<div class=""gray"">None</div>
</dd>"
rs145207477	"<dd>
<div class=""gray"">None</div>
</dd>"
rs141287989	"<dd>
<div class=""gray"">None</div>
</dd>"
rs186032200	"<dd>
<div class=""gray"">None</div>
</dd>"
rs190052427	"<dd>
<div class=""gray"">None</div>
</dd>"
